title,price,availability,rating,product_url,category,price_gbp
Libertarianism for Beginners,Â£51.33,In stock,2,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,Politics,51.33
It's Only the Himalayas,Â£45.17,In stock,2,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,Travel,45.17
In Her Wake,Â£12.84,In stock,1,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,Thriller,12.84
How Music Works,Â£37.32,In stock,2,https://books.toscrape.com/catalogue/how-music-works_979/index.html,Music,37.32
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Â£30.52,In stock,3,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,Food and Drink,30.52
Chase Me (Paris Nights #2),Â£25.27,In stock,5,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,Romance,25.27
Black Dust,Â£34.53,In stock,5,https://books.toscrape.com/catalogue/black-dust_976/index.html,Romance,34.53
Birdsong: A Story in Pictures,Â£54.64,In stock,3,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,Childrens,54.64
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Â£22.50,In stock,3,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,Default,22.5
Aladdin and His Wonderful Lamp,Â£53.13,In stock,3,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,Default,53.13
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Â£40.30,In stock,5,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,Nonfiction,40.3
Wall and Piece,Â£44.18,In stock,4,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,Art,44.18
The Four Agreements: A Practical Guide to Personal Freedom,Â£17.66,In stock,5,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,Spirituality,17.66
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Â£31.05,In stock,3,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,Nonfiction,31.05
The Elephant Tree,Â£23.82,In stock,5,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,Thriller,23.82
The Bear and the Piano,Â£36.89,In stock,1,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,Childrens,36.89
Sophie's World,Â£15.94,In stock,5,https://books.toscrape.com/catalogue/sophies-world_966/index.html,Philosophy,15.94
Penny Maybe,Â£33.29,In stock,3,https://books.toscrape.com/catalogue/penny-maybe_965/index.html,Default,33.29
Maude (1883-1993):She Grew Up with the country,Â£18.02,In stock,2,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,Default,18.02
"In a Dark, Dark Wood",Â£19.63,In stock,1,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,Mystery,19.63
Behind Closed Doors,Â£52.22,In stock,4,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,Thriller,52.22
You can't bury them all: Poems,Â£33.63,In stock,2,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,Poetry,33.63
Slow States of Collapse: Poems,Â£57.31,In stock,3,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,Poetry,57.31
Reasons to Stay Alive,Â£26.41,In stock,2,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,Nonfiction,26.41
Private Paris (Private #10),Â£47.61,In stock,5,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,Fiction,47.61
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Â£23.11,In stock,5,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,Nonfiction,23.11
Without Borders (Wanderlove #1),Â£45.07,In stock,2,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,New Adult,45.07
When We Collided,Â£31.77,In stock,1,https://books.toscrape.com/catalogue/when-we-collided_955/index.html,Contemporary,31.77
"We Love You, Charlie Freeman",Â£50.27,In stock,5,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,Fiction,50.27
Untitled Collection: Sabbath Poems 2014,Â£14.27,In stock,4,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,Poetry,14.27
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Â£44.18,In stock,4,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,Nonfiction,44.18
Unicorn Tracks,Â£18.78,In stock,3,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,Fantasy,18.78
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",Â£25.52,In stock,1,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,History,25.52
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Â£16.28,In stock,1,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,Sequential Art,16.28
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Â£31.12,In stock,3,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,Nonfiction,31.12
This One Summer,Â£19.49,In stock,4,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,Sequential Art,19.49
Thirst,Â£17.27,In stock,5,https://books.toscrape.com/catalogue/thirst_946/index.html,Fiction,17.27
The Torch Is Passed: A Harding Family Story,Â£19.09,In stock,1,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,Add a comment,19.09
The Secret of Dreadwillow Carse,Â£56.13,In stock,1,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,Childrens,56.13
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Â£56.41,In stock,1,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,Food and Drink,56.41
The Past Never Ends,Â£56.50,In stock,4,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,Mystery,56.5
The Natural History of Us (The Fine Art of Pretending #2),Â£45.22,In stock,3,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,Young Adult,45.22
The Nameless City (The Nameless City #1),Â£38.16,In stock,4,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,Sequential Art,38.16
The Murder That Never Was (Forensic Instincts #5),Â£54.11,In stock,3,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html,Fiction,54.11
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Â£42.96,In stock,4,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,Science,42.96
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Â£23.89,In stock,4,https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,Add a comment,23.89
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Â£16.77,In stock,3,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,Nonfiction,16.77
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Â£20.59,In stock,5,https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,Default,20.59
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Â£37.13,In stock,1,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,Nonfiction,37.13
The Electric Pencil: Drawings from Inside State Hospital No. 3,Â£56.06,In stock,1,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,Nonfiction,56.06
The Death of Humanity: and the Case for Life,Â£58.11,In stock,4,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html,Philosophy,58.11
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Â£49.05,In stock,3,https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,Health,49.05
The Art Forger,Â£40.76,In stock,3,https://books.toscrape.com/catalogue/the-art-forger_930/index.html,Add a comment,40.76
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,Â£19.73,In stock,1,https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,History,19.73
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Â£32.24,In stock,5,https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,Spirituality,32.24
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Â£41.83,In stock,4,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,Nonfiction,41.83
Soul Reader,Â£39.58,In stock,2,https://books.toscrape.com/catalogue/soul-reader_926/index.html,Default,39.58
Security,Â£39.25,In stock,2,https://books.toscrape.com/catalogue/security_925/index.html,Horror,39.25
"Saga, Volume 6 (Saga (Collected Editions) #6)",Â£25.02,In stock,3,https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html,Fantasy,25.02
"Saga, Volume 5 (Saga (Collected Editions) #5)",Â£51.04,In stock,2,https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html,Sequential Art,51.04
Reskilling America: Learning to Labor in the Twenty-First Century,Â£19.83,In stock,2,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,Nonfiction,19.83
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Â£50.40,In stock,3,https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,Sequential Art,50.4
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Â£13.61,In stock,5,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,Sequential Art,13.61
Princess Between Worlds (Wide-Awake Princess #5),Â£13.34,In stock,5,https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html,Fantasy,13.34
"Pop Gun War, Volume 1: Gift",Â£18.97,In stock,1,https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html,Sequential Art,18.97
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",Â£36.28,In stock,2,https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,History,36.28
Patience,Â£10.16,In stock,3,https://books.toscrape.com/catalogue/patience_916/index.html,Sequential Art,10.16
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Â£15.44,In stock,4,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,Sequential Art,15.44
orange: The Complete Collection 1 (orange: The Complete Collection #1),Â£48.41,In stock,1,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,Sequential Art,48.41
Online Marketing for Busy Authors: A Step-By-Step Guide,Â£46.35,In stock,1,https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html,Self Help,46.35
On a Midnight Clear,Â£14.07,In stock,3,https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html,Add a comment,14.07
Obsidian (Lux #1),Â£14.86,In stock,2,https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html,Young Adult,14.86
My Paris Kitchen: Recipes and Stories,Â£33.37,In stock,2,https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html,Food and Drink,33.37
Masks and Shadows,Â£56.40,In stock,2,https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html,Fantasy,56.4
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Â£14.02,In stock,4,https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,Food and Drink,14.02
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Â£46.91,In stock,2,https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,Sequential Art,46.91
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Â£45.61,In stock,3,https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,Sequential Art,45.61
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Â£19.92,In stock,2,https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,Sequential Art,19.92
"Layered: Baking, Building, and Styling Spectacular Cakes",Â£40.11,In stock,1,https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html,Food and Drink,40.11
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Â£53.90,In stock,2,https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,Add a comment,53.9
Join,Â£35.67,In stock,5,https://books.toscrape.com/catalogue/join_902/index.html,Science Fiction,35.67
In the Country We Love: My Family Divided,Â£22.00,In stock,4,https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html,Nonfiction,22.0
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Â£57.36,In stock,5,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html,Science,57.36
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Â£29.17,In stock,2,https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html,Sequential Art,29.17
I am a Hero Omnibus Volume 1,Â£54.63,In stock,3,https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html,Sequential Art,54.63
How to Be Miserable: 40 Strategies You Already Use,Â£46.03,In stock,1,https://books.toscrape.com/catalogue/how-to-be-miserable-40-strategies-you-already-use_897/index.html,Self Help,46.03
Her Backup Boyfriend (The Sorensen Family #1),Â£33.97,In stock,1,https://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html,Romance,33.97
"Giant Days, Vol. 2 (Giant Days #5-8)",Â£22.11,In stock,2,https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html,Sequential Art,22.11
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Â£29.69,In stock,3,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,Historical Fiction,29.69
First and First (Five Boroughs #3),Â£15.97,In stock,4,https://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html,Romance,15.97
Fifty Shades Darker (Fifty Shades #2),Â£21.96,In stock,1,https://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html,Romance,21.96
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Â£54.35,In stock,2,https://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html,Nonfiction,54.35
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Â£37.97,In stock,2,https://books.toscrape.com/catalogue/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html,Religion,37.97
Danganronpa Volume 1,Â£51.99,In stock,4,https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html,Sequential Art,51.99
Crown of Midnight (Throne of Glass #2),Â£43.29,In stock,3,https://books.toscrape.com/catalogue/crown-of-midnight-throne-of-glass-2_888/index.html,Fantasy,43.29
"Codename Baboushka, Volume 1: The Conclave of Death",Â£36.72,In stock,4,https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html,Sequential Art,36.72
Camp Midnight,Â£17.08,In stock,4,https://books.toscrape.com/catalogue/camp-midnight_886/index.html,Sequential Art,17.08
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Â£29.14,In stock,5,https://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html,Nonfiction,29.14
Burning,Â£28.81,In stock,3,https://books.toscrape.com/catalogue/burning_884/index.html,Young Adult,28.81
Bossypants,Â£49.46,In stock,2,https://books.toscrape.com/catalogue/bossypants_883/index.html,Default,49.46
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Â£37.92,In stock,2,https://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html,Sequential Art,37.92
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Â£28.09,In stock,2,https://books.toscrape.com/catalogue/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html,Fantasy,28.09
Algorithms to Live By: The Computer Science of Human Decisions,Â£30.81,In stock,1,https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html,Nonfiction,30.81
A World of Flavor: Your Gluten Free Passport,Â£42.95,In stock,1,https://books.toscrape.com/catalogue/a-world-of-flavor-your-gluten-free-passport_879/index.html,Default,42.95
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Â£56.76,In stock,5,https://books.toscrape.com/catalogue/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html,Default,56.76
A Murder in Time,Â£16.64,In stock,1,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html,Mystery,16.64
A Flight of Arrows (The Pathfinders #2),Â£55.53,In stock,5,https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html,Historical Fiction,55.53
A Fierce and Subtle Poison,Â£28.13,In stock,4,https://books.toscrape.com/catalogue/a-fierce-and-subtle-poison_875/index.html,Young Adult,28.13
A Court of Thorns and Roses (A Court of Thorns and Roses #1),Â£52.37,In stock,1,https://books.toscrape.com/catalogue/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html,Fantasy,52.37
(Un)Qualified: How God Uses Broken People to Do Big Things,Â£54.00,In stock,5,https://books.toscrape.com/catalogue/unqualified-how-god-uses-broken-people-to-do-big-things_873/index.html,Christian,54.0
You Are What You Love: The Spiritual Power of Habit,Â£21.87,In stock,4,https://books.toscrape.com/catalogue/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html,Religion,21.87
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",Â£43.30,In stock,4,https://books.toscrape.com/catalogue/william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html,Science Fiction,43.3
Tuesday Nights in 1980,Â£21.04,In stock,2,https://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html,Fiction,21.04
Tracing Numbers on a Train,Â£41.60,In stock,3,https://books.toscrape.com/catalogue/tracing-numbers-on-a-train_869/index.html,Default,41.6
Throne of Glass (Throne of Glass #1),Â£35.07,In stock,3,https://books.toscrape.com/catalogue/throne-of-glass-throne-of-glass-1_868/index.html,Fantasy,35.07
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,Â£59.64,In stock,1,https://books.toscrape.com/catalogue/thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-history_867/index.html,History,59.64
Thirteen Reasons Why,Â£52.72,In stock,1,https://books.toscrape.com/catalogue/thirteen-reasons-why_866/index.html,Default,52.72
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,Â£58.08,In stock,4,https://books.toscrape.com/catalogue/the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html,Childrens,58.08
The Wedding Dress,Â£24.12,In stock,1,https://books.toscrape.com/catalogue/the-wedding-dress_864/index.html,Romance,24.12
The Vacationers,Â£42.15,In stock,4,https://books.toscrape.com/catalogue/the-vacationers_863/index.html,Fiction,42.15
The Third Wave: An Entrepreneurâs Vision of the Future,Â£12.61,In stock,5,https://books.toscrape.com/catalogue/the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html,Business,12.61
The Stranger,Â£17.44,In stock,4,https://books.toscrape.com/catalogue/the-stranger_861/index.html,Philosophy,17.44
The Shadow Hero (The Shadow Hero),Â£33.14,In stock,1,https://books.toscrape.com/catalogue/the-shadow-hero-the-shadow-hero_860/index.html,Sequential Art,33.14
The Secret (The Secret #1),Â£27.37,In stock,4,https://books.toscrape.com/catalogue/the-secret-the-secret-1_859/index.html,Default,27.37
The Regional Office Is Under Attack!,Â£51.36,In stock,5,https://books.toscrape.com/catalogue/the-regional-office-is-under-attack_858/index.html,Fiction,51.36
The Psychopath Test: A Journey Through the Madness Industry,Â£36.00,In stock,2,https://books.toscrape.com/catalogue/the-psychopath-test-a-journey-through-the-madness-industry_857/index.html,Default,36.0
The Project,Â£10.65,In stock,1,https://books.toscrape.com/catalogue/the-project_856/index.html,Science Fiction,10.65
The Power of Now: A Guide to Spiritual Enlightenment,Â£43.54,In stock,2,https://books.toscrape.com/catalogue/the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html,Nonfiction,43.54
The Omnivore's Dilemma: A Natural History of Four Meals,Â£38.21,In stock,2,https://books.toscrape.com/catalogue/the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html,Nonfiction,38.21
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,Â£37.34,In stock,5,https://books.toscrape.com/catalogue/the-nerdy-nummies-cookbook-sweet-treats-for-the-geek-in-all-of-us_853/index.html,Food and Drink,37.34
The Murder of Roger Ackroyd (Hercule Poirot #4),Â£44.10,In stock,4,https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,Mystery,44.1
The Mistake (Off-Campus #2),Â£43.29,In stock,3,https://books.toscrape.com/catalogue/the-mistake-off-campus-2_851/index.html,New Adult,43.29
The Matchmaker's Playbook (Wingmen Inc. #1),Â£55.85,In stock,1,https://books.toscrape.com/catalogue/the-matchmakers-playbook-wingmen-inc-1_850/index.html,New Adult,55.85
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,Â£37.60,In stock,2,https://books.toscrape.com/catalogue/the-love-and-lemons-cookbook-an-apple-to-zucchini-celebration-of-impromptu-cooking_849/index.html,Food and Drink,37.6
The Long Shadow of Small Ghosts: Murder and Memory in an American City,Â£10.97,In stock,1,https://books.toscrape.com/catalogue/the-long-shadow-of-small-ghosts-murder-and-memory-in-an-american-city_848/index.html,Crime,10.97
The Kite Runner,Â£41.82,In stock,4,https://books.toscrape.com/catalogue/the-kite-runner_847/index.html,Default,41.82
The House by the Lake,Â£36.95,In stock,1,https://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html,Historical Fiction,36.95
The Glittering Court (The Glittering Court #1),Â£44.28,In stock,1,https://books.toscrape.com/catalogue/the-glittering-court-the-glittering-court-1_845/index.html,Fantasy,44.28
The Girl on the Train,Â£55.02,In stock,2,https://books.toscrape.com/catalogue/the-girl-on-the-train_844/index.html,Default,55.02
